task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
re3d,ner,ConfliBERT-v2-wsd-core-psfix,123,128,5,16,0.68673,"{""f1_micro"": 0.6867305061559508, ""f1_macro"": 0.5757457177219394, ""precision"": 0.638676844783715, ""recall"": 0.742603550295858, ""acc"": 0.894256371243819, ""primary"": 0.6867305061559508, ""lr"": 0.00016, ""dev_primary"": 0.69636}"
re3d,ner,ConfliBERT-v2-wsd-core-psfix,123,128,5,16,0.68094,"{""f1_micro"": 0.680939226519337, ""f1_macro"": 0.5895875226620406, ""precision"": 0.6386010362694301, ""recall"": 0.7292899408284024, ""acc"": 0.8896918980600989, ""primary"": 0.680939226519337, ""lr"": 0.00024, ""dev_primary"": 0.68525}"
re3d,ner,ConfliBERT-v2-wsd-core-psfix,124,128,5,16,0.69458,"{""f1_micro"": 0.6945778997940976, ""f1_macro"": 0.5704063576640842, ""precision"": 0.647887323943662, ""recall"": 0.7485207100591716, ""acc"": 0.894636744009129, ""primary"": 0.6945778997940976, ""lr"": 0.00016, ""dev_primary"": 0.69689}"
re3d,ner,ConfliBERT-v2-wsd-core-psfix,125,128,5,16,0.69465,"{""f1_micro"": 0.6946513202437374, ""f1_macro"": 0.6111477538668413, ""precision"": 0.6404494382022472, ""recall"": 0.7588757396449705, ""acc"": 0.900532521871434, ""primary"": 0.6946513202437374, ""lr"": 0.00016, ""dev_primary"": 0.67515}"
cameo_ner,ner,ModernBERT-base-psfix,123,128,5,16,0.67642,"{""f1_micro"": 0.6764227642276422, ""f1_macro"": 0.5954042823024327, ""precision"": 0.6520376175548589, ""recall"": 0.7027027027027027, ""acc"": 0.9161737366908906, ""primary"": 0.6764227642276422, ""lr"": 5e-05, ""dev_primary"": 0.69465}"
cameo_ner,ner,ModernBERT-base-psfix,123,128,5,16,0.71942,"{""f1_micro"": 0.7194163860830527, ""f1_macro"": 0.6347230949274604, ""precision"": 0.7170022371364653, ""recall"": 0.7218468468468469, ""acc"": 0.9203988507689708, ""primary"": 0.7194163860830527, ""lr"": 0.00024, ""dev_primary"": 0.75074}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.66055,"{""f1_micro"": 0.6605504587155964, ""f1_macro"": 0.5674284395381263, ""precision"": 0.6341968911917099, ""recall"": 0.6891891891891891, ""acc"": 0.9157512252830826, ""primary"": 0.6605504587155964, ""lr"": 5e-05, ""dev_primary"": 0.70571}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,123,128,5,16,0.72738,"{""f1_micro"": 0.7273755656108597, ""f1_macro"": 0.6726440674193689, ""precision"": 0.7306818181818182, ""recall"": 0.7240990990990991, ""acc"": 0.9214973804292715, ""primary"": 0.7273755656108597, ""lr"": 0.00024, ""dev_primary"": 0.76692}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,124,128,5,16,0.73422,"{""f1_micro"": 0.73421926910299, ""f1_macro"": 0.6458990974701991, ""precision"": 0.7222222222222222, ""recall"": 0.7466216216216216, ""acc"": 0.9226804123711341, ""primary"": 0.73421926910299, ""lr"": 0.00024, ""dev_primary"": 0.739}"
cameo_ner,ner,ConfliBERT-v2-wsd-psfix,125,128,5,16,0.74318,"{""f1_micro"": 0.743175487465181, ""f1_macro"": 0.6729693448213362, ""precision"": 0.7353914002205072, ""recall"": 0.7511261261261262, ""acc"": 0.9245394625654892, ""primary"": 0.743175487465181, ""lr"": 0.00024, ""dev_primary"": 0.74596}"
cameo_ner,ner,ConfliBERT-v2-native-psfix,123,128,5,16,0.67547,"{""f1_micro"": 0.6754675467546756, ""f1_macro"": 0.5954091343665852, ""precision"": 0.6602150537634408, ""recall"": 0.6914414414414415, ""acc"": 0.9198918370796012, ""primary"": 0.6754675467546756, ""lr"": 5e-05, ""dev_primary"": 0.72593}"
