step,tokens_seen,train_loss,eval_loss,eval_ppl,lr,grad_norm,tokens_per_sec,wall_s
1050,275251200,1.3432789611816407,,,0.0002,0.3834865093231201,34838.0,7900.9
1075,281804800,1.3399464416503906,,,0.0002,0.38899877667427063,34822.9,8092.5
1100,288358400,1.3398582458496093,,,0.0002,0.3490229547023773,34804.7,8285.0
1125,294912000,1.336644287109375,,,0.0002,0.33578962087631226,34765.2,8483.0
1150,301465600,1.3438632202148437,,,0.0002,0.3557845950126648,34746.7,8676.1
1175,308019200,1.335611572265625,,,0.0002,0.35533377528190613,34753.9,8862.9
1200,314572800,1.3375120544433594,,,0.0002,0.3691410422325134,34744.3,9053.9
1225,321126400,1.3393145751953126,,,0.0002,0.3488504886627197,34716.2,9250.0
1250,327680000,1.3300906372070314,,,0.0002,0.34036654233932495,34495.0,9499.3
1275,334233600,1.3325167846679689,,,0.0002,0.33014777302742004,34254.3,9757.4
1300,340787200,1.330985565185547,,,0.0002,0.3584709167480469,34002.9,10022.3
1325,347340800,1.3311302185058593,,,0.0002,0.36259862780570984,33786.3,10280.5
1350,353894400,1.3329299926757812,,,0.0002,0.3302980661392212,33579.3,10539.1
1375,360448000,1.333138427734375,,,0.0002,0.34587132930755615,33349.3,10808.3
1400,367001600,1.3336544799804688,,,0.0002,0.33708980679512024,33161.9,11067.0
1425,373555200,1.3303614807128907,,,0.0002,0.3460537791252136,32967.1,11331.2
1450,380108800,1.3262890625,,,0.0002,0.3361397087574005,32784.8,11594.0
1475,386662400,1.3261428833007813,,,0.0002,0.34220418334007263,32628.4,11850.5
1500,393216000,1.3309674072265625,,,0.0002,0.33143937587738037,32473.8,12108.7
1525,399769600,1.3245478820800782,,,0.0002,0.3407782316207886,32326.8,12366.5
1550,406323200,1.3268124389648437,,,0.0002,0.33277273178100586,32207.2,12615.9
1575,412876800,1.3273237609863282,,,0.0002,0.3526136577129364,32074.6,12872.4
1600,419430400,1.32669189453125,,,0.0002,0.327846497297287,31965.3,13121.4
1625,425984000,1.3239947509765626,,,0.0002,0.3260464370250702,31836.6,13380.3
1650,432537600,1.328695068359375,,,0.0002,0.3341192901134491,31714.9,13638.3
1675,439091200,1.3216375732421874,,,0.0002,0.3422016501426697,31619.0,13887.0
1700,445644800,1.3243836975097656,,,0.0002,0.3384813368320465,31505.5,14145.0
1725,452198400,1.3170423889160157,,,0.0002,0.3637043833732605,31401.5,14400.5
1750,458752000,1.32750732421875,,,0.0002,0.36543187499046326,31315.0,14649.6
1775,465305600,1.321568603515625,,,0.0002,0.32947930693626404,31214.4,14906.8
1800,471859200,1.3253646850585938,,,0.0002,0.35018089413642883,31121.0,15162.1
1825,478412800,1.3302236938476562,,,0.0002,0.34192270040512085,31023.3,15421.1
1850,484966400,1.3284445190429688,,,0.0002,0.35389474034309387,30934.2,15677.4
